지역,종별,의료기관명,수
서구 치평동,의원,세종성형외과의원,1
서구 농성동,의원,우리들내과의원,1
서구 농성동,의원,트루맨남성의원,1
서구 농성동,의원,메디필비뇨기과의원,1
서구 농성동,의원,메디필피부과의원,1
서구 쌍촌동,의원,우리튼튼의원,1
서구 동천동,의원,느낌좋은산부인과의원,1
서구 치평동,의원,이노블성형외과의원,1
서구 화정동,의원,나라의원,1
서구 치평동,의원,더블유의원,1
서구 유촌동,의원,예지메디뷰의원,1
서구 치평동,의원,더리프트의원,1
서구 치평동,의원,미지예피부과의원,1
서구 농성동,의원,나용필모피부과의원,1
서구 농성동,의원,밝은마취통증의학과의원,1
서구 금호동,의원,박영옥마취통증의학과의원,1
서구 치평동,의원,더모헤어플란트미지예피부과의원,1
서구 금호동,의원,예사랑피부과의원,1
서구 농성동,의원,광주서울하정의원,1
서구 치평동,의원,최세미산부인과의원,1
서구 치평동,의원,알파성형외과의원,1
서구 금호동,의원,멘파워비뇨기과의원,1
서구 양동,의원,중앙신경외과의원,1
서구 치평동,의원,손의주신경과의원,1
서구 농성동,의원,프렌즈성형외과의원,1
서구 화정동,의원,본피부과의원,1
서구 농성동,의원,박동균성형외과의원,1
서구 농성동,의원,유앤박미래피부과의원,1
서구 농성동,의원,신세계마취통증의학과의원,1
서구 농성동,의원,유로진 남성의원,1
서구 치평동,의원,연세유앤미의원,1
서구 금호동,의원,코아이비인후과의원,1
서구 광천동,의원,신세계안과의원,1
서구 화정동,의원,행복가정의학과의원,1
서구 치평동,의원,닥터리스의원,1
서구 치평동,의원,뷰티스 맑은피부과의원,1
서구 치평동,의원,압구정앤성형외과의원,1
서구 치평동,의원,애플영상의학과의원,1
서구 치평동,의원,(재단법인)한국의학연구소광주의원,1
서구 농성동,의원,화이트피부과의원,1
서구 금호동,의원,우리성모의원,1
서구 화정동,의원,정내과의원,1
서구 치평동,의원,yes의원,1
서구 치평동,의원,신지호성형외과의원,1
서구 금호동,의원,에버미의원,1
서구 쌍촌동,의원,생기가정의학과의원,1
서구 농성동,의원,웰스유외과의원,1
서구 화정동,의원,이철범이비인후과의원,1
서구 금호동,의원,양승원내과의원,1
서구 동천동,의원,상쾌한이비인후과의원,1
서구 치평동,의원,닥터뷰티의원,1
서구 쌍촌동,의원,송창훈내과의원,1
서구 농성동,의원,미플러스성형외과의원,1
서구 농성동,의원,(사회복지법인)한국혈우재단광주의원,1
서구 광천동,의원,2030미라인외과의원,1
서구 금호동,의원,금호소망산부인과의원,1
서구 풍암동,의원,보라여성의원,1
서구 쌍촌동,의원,아름다운여성의원,1
서구 농성동,의원,광주미래와희망산부인과의원,1
서구 동천동,의원,동천희망소아과의원,1
서구 치평동,의원,젠틀맨&레이디의원,1
서구 농성동,의원,메디필성형외과의원,1
서구 농성동,의원,신세계정신건강의학과의원,1
서구 화정동,의원,복음연합의원,1
서구 치평동,의원,강문항외과의원,1
서구 화정동,의원,아이린의원,1
서구 치평동,의원,필요한정신건강의학과의원,1
서구 풍암동,의원,풍암안과의원,1
서구 풍암동,의원,제일비뇨기과의원,1
서구 치평동,의원,SM미성형외과의원,1
서구 농성동,의원,메디필마취통증의학과의원,1
서구 광천동,의원,정인정신건강의학과의원,1
서구 치평동,의원,우일신경외과의원,1
서구 화정동,의원,소망가정의원,1
서구 금호동,의원,아이안과의원,1
서구 치평동,의원,맑은소리최정섭이비인후과의원,1
서구 치평동,의원,류앤김이비인후과소아과의원,1
서구 치평동,의원,에덴의원,1
서구 화정동,의원,염주정형외과의원,1
서구 농성동,의원,미의원,1
서구 유촌동,의원,신성하내과의원,1
서구 금호동,의원,다나마취통증의학과의원,1
서구 양동,의원,김영곤내과의원,1
서구 풍암동,의원,은혜가정의원,1
서구 화정동,의원,김영남내과의원,1
서구 금호동,의원,상무이비인후과의원,1
서구 화정동,의원,김성배내과의원,1
서구 쌍촌동,의원,미래이비인후과의원,1
서구 양동,의원,강경태내과의원,1
서구 농성동,의원,프레메디산부인과의원,1
서구 농성동,의원,메디필서방사선과의원,1
서구 치평동,의원,문현주산부인과의원,1
서구 쌍촌동,의원,수항외과의원,1
서구 치평동,의원,황준화내과의원,1
서구 금호동,의원,이지은소아과의원,1
서구 금호동,의원,한우리산부인과의원,1
서구 치평동,의원,김앤김 내과의원,1
서구 금호동,의원,고광련이비인후과의원,1
서구 금호동,의원,금호가정의학과의원,1
서구 금호동,의원,은피부과의원,1
서구 금호동,의원,명내과방사선과의원,1
서구 금호동,의원,김장훈안과의원,1
서구 광천동,의원,중앙마취과의원,1
서구 농성동,의원,신세계성형외과의원,1
서구 금호동,의원,좋은비뇨기과의원,1
서구 쌍촌동,의원,빛고을가정의원,1
서구 유촌동,의원,중앙가정의학과의원,1
서구 풍암동,의원,풍암민내과의원,1
서구 치평동,의원,성모안과의원,1
서구 화정동,의원,이내과의원,1
서구 치평동,의원,상무우리내과의원,1
서구 치평동,의원,노진이재활의학과의원,1
서구 금호동,의원,하나이비인후과의원,1
서구 농성동,의원,신세계내과의원,1
서구 유촌동,의원,조소아청소년과의원,1
서구 쌍촌동,의원,자모의원,1
서구 풍암동,의원,풍암이비인후과의원,1
서구 양동,의원,문내과의원,1
서구 농성동,의원,밝은마음정신건강의학과의원,1
서구 화정동,의원,선내과의원,1
서구 풍암동,의원,장현수이비인후과의원,1
서구 금호동,의원,금호이비인후과의원,1
서구 화정동,의원,이정형외과의원,1
서구 화정동,의원,최수미내과의원,1
서구 쌍촌동,의원,고려의원,1
서구 쌍촌동,의원,현대산부인과의원,1
서구 농성동,의원,세브란스마취통증의학과의원,1
서구 화정동,의원,광주정신건강의학과의원,1
서구 화정동,의원,구덕천비뇨기과의원,1
서구 화정동,의원,다나피부과의원,1
서구 금호동,의원,정피부과의원,1
서구 화정동,의원,인성여성의원,1
서구 풍암동,의원,민소아청소년과의원,1
서구 금호동,의원,오원주내과의원,1
서구 농성동,의원,메디필내과의원,1
서구 화정동,의원,변동남안과의원,1
서구 화정동,의원,노임규정신건강의학과의원,1
서구 농성동,의원,조정형외과의원,1
서구 화정동,의원,허성희이비인후과의원,1
서구 양동,의원,양민가정의원,1
서구 농성동,의원,메디필이비인후과의원,1
서구 농성동,의원,(사단법인)한국건강관리협회건강증진의원,1
서구 금호동,의원,서부의원,1
서구 화정동,의원,박영경소아과의원,1
서구 쌍촌동,의원,한마음신경정신과의원,1
서구 농성동,의원,염내과의원,1
남구 진월동,의원,다온유외과의원,1
남구 주월동,의원,리더스비뇨의학과의원,1
남구 진월동,의원,삼성장내과의원,1
남구 봉선동,의원,앞에선비뇨의학과의원,1
남구 진월동,의원,다우리내과의원,1
남구 임암동,의원,위편한내과의원,1
남구 봉선동,의원,복음내과의원,1
남구 봉선동,의원,엘여성의원,1
남구 진월동,의원,행복한신경과의원,1
남구 주월동,의원,벨버티의원,1
남구 봉선동,의원,바른피부과의원,1
남구 진월동,의원,늘푸른외과의원,1
남구 주월동,의원,푸른길의원,1
남구 봉선동,의원,스텔라여성의원,1
남구 주월동,의원,백운탑신경과의원,1
남구 봉선동,의원,탑365비뇨의학과의원,1
남구 봉선동,의원,봉선탑정형외과의원,1
남구 진월동,의원,제이에이치박준희이비인후과의원,1
남구 봉선동,의원,스카이마취통증의학과의원,1
남구 진월동,의원,광주아이안과의원,1
남구 행암동,의원,(재)씨젠의료재단 씨젠광주의원,1
남구 백운동,의원,마디의원,1
